system:index,id,.geo
1_1_LT05_022039_19961203,1_1_LT05_022039_19961203,
1_1_LT05_022039_19961219,1_1_LT05_022039_19961219,
1_1_LT05_022039_19970104,1_1_LT05_022039_19970104,
1_1_LT05_022039_19970120,1_1_LT05_022039_19970120,
1_1_LT05_022039_19970205,1_1_LT05_022039_19970205,
1_1_LT05_022039_19970221,1_1_LT05_022039_19970221,
1_1_LT05_022039_19970410,1_1_LT05_022039_19970410,
1_1_LT05_022039_19970512,1_1_LT05_022039_19970512,
1_1_LT05_022039_19970528,1_1_LT05_022039_19970528,
1_1_LT05_022039_19970613,1_1_LT05_022039_19970613,
1_1_LT05_022039_19970629,1_1_LT05_022039_19970629,
1_1_LT05_022039_19970715,1_1_LT05_022039_19970715,
1_1_LT05_022039_19970816,1_1_LT05_022039_19970816,
1_1_LT05_022039_19970901,1_1_LT05_022039_19970901,
1_1_LT05_022039_19970917,1_1_LT05_022039_19970917,
1_1_LT05_022039_19971003,1_1_LT05_022039_19971003,
1_1_LT05_022039_19971019,1_1_LT05_022039_19971019,
1_1_LT05_022039_19971104,1_1_LT05_022039_19971104,
1_1_LT05_022039_19971120,1_1_LT05_022039_19971120,
1_1_LT05_022039_19971206,1_1_LT05_022039_19971206,
1_1_LT05_022039_19971222,1_1_LT05_022039_19971222,
1_1_LT05_022039_19980208,1_1_LT05_022039_19980208,
1_1_LT05_022039_19980224,1_1_LT05_022039_19980224,
1_1_LT05_022039_19980328,1_1_LT05_022039_19980328,
1_1_LT05_022039_19980515,1_1_LT05_022039_19980515,
1_1_LT05_022039_19980531,1_1_LT05_022039_19980531,
1_1_LT05_022039_19980616,1_1_LT05_022039_19980616,
1_1_LT05_022039_19980702,1_1_LT05_022039_19980702,
1_1_LT05_022039_19980718,1_1_LT05_022039_19980718,
1_1_LT05_022039_19980803,1_1_LT05_022039_19980803,
1_1_LT05_022039_19980819,1_1_LT05_022039_19980819,
1_1_LT05_022039_19980904,1_1_LT05_022039_19980904,
1_1_LT05_022039_19981006,1_1_LT05_022039_19981006,
1_1_LT05_022039_19981022,1_1_LT05_022039_19981022,
1_1_LT05_022039_19981107,1_1_LT05_022039_19981107,
1_1_LT05_022039_19981123,1_1_LT05_022039_19981123,
1_1_LT05_022039_19981209,1_1_LT05_022039_19981209,
1_1_LT05_022039_19990110,1_1_LT05_022039_19990110,
1_1_LT05_022039_19990126,1_1_LT05_022039_19990126,
1_1_LT05_022039_19990211,1_1_LT05_022039_19990211,
1_1_LT05_022039_19990416,1_1_LT05_022039_19990416,
1_1_LT05_022039_19990502,1_1_LT05_022039_19990502,
1_1_LT05_022039_19990518,1_1_LT05_022039_19990518,
1_1_LT05_022039_19990603,1_1_LT05_022039_19990603,
1_1_LT05_022039_19990619,1_1_LT05_022039_19990619,
1_1_LT05_022039_19990721,1_1_LT05_022039_19990721,
1_1_LT05_022039_19990806,1_1_LT05_022039_19990806,
1_1_LT05_022039_19990822,1_1_LT05_022039_19990822,
1_1_LT05_022039_19990907,1_1_LT05_022039_19990907,
1_1_LT05_022039_19990923,1_1_LT05_022039_19990923,
1_1_LT05_022039_19991025,1_1_LT05_022039_19991025,
1_1_LT05_022039_19991110,1_1_LT05_022039_19991110,
1_1_LT05_022039_19991126,1_1_LT05_022039_19991126,
1_1_LT05_022039_19991212,1_1_LT05_022039_19991212,
1_1_LT05_022039_19991228,1_1_LT05_022039_19991228,
1_1_LT05_022039_20000113,1_1_LT05_022039_20000113,
1_1_LT05_022039_20000214,1_1_LT05_022039_20000214,
1_1_LT05_022039_20000301,1_1_LT05_022039_20000301,
1_1_LT05_022039_20000317,1_1_LT05_022039_20000317,
1_1_LT05_022039_20000418,1_1_LT05_022039_20000418,
1_1_LT05_022039_20000504,1_1_LT05_022039_20000504,
1_1_LT05_022039_20000621,1_1_LT05_022039_20000621,
1_1_LT05_022039_20000707,1_1_LT05_022039_20000707,
1_1_LT05_022039_20000723,1_1_LT05_022039_20000723,
1_1_LT05_022039_20000808,1_1_LT05_022039_20000808,
1_1_LT05_022039_20000824,1_1_LT05_022039_20000824,
1_1_LT05_022039_20000909,1_1_LT05_022039_20000909,
