system:index,id,.geo
1_1_LT05_036034_19990824,1_1_LT05_036034_19990824,
1_1_LT05_036034_19990909,1_1_LT05_036034_19990909,
1_1_LT05_036034_19990925,1_1_LT05_036034_19990925,
1_1_LT05_036034_19991011,1_1_LT05_036034_19991011,
1_1_LT05_036034_19991027,1_1_LT05_036034_19991027,
1_1_LT05_036034_20000506,1_1_LT05_036034_20000506,
1_1_LT05_036034_20000522,1_1_LT05_036034_20000522,
1_1_LT05_036034_20000607,1_1_LT05_036034_20000607,
1_1_LT05_036034_20000623,1_1_LT05_036034_20000623,
1_1_LT05_036034_20000725,1_1_LT05_036034_20000725,
1_1_LT05_036034_20000810,1_1_LT05_036034_20000810,
1_1_LT05_036034_20000826,1_1_LT05_036034_20000826,
1_1_LT05_036034_20000927,1_1_LT05_036034_20000927,
1_1_LT05_036034_20001013,1_1_LT05_036034_20001013,
1_1_LT05_036034_20010509,1_1_LT05_036034_20010509,
1_1_LT05_036034_20010525,1_1_LT05_036034_20010525,
1_1_LT05_036034_20010610,1_1_LT05_036034_20010610,
1_1_LT05_036034_20010712,1_1_LT05_036034_20010712,
1_1_LT05_036034_20010728,1_1_LT05_036034_20010728,
1_1_LT05_036034_20010829,1_1_LT05_036034_20010829,
1_1_LT05_036034_20010914,1_1_LT05_036034_20010914,
1_1_LT05_036034_20010930,1_1_LT05_036034_20010930,
1_1_LT05_036034_20011016,1_1_LT05_036034_20011016,
1_1_LT05_036034_20020512,1_1_LT05_036034_20020512,
1_1_LT05_036034_20020613,1_1_LT05_036034_20020613,
1_1_LT05_036034_20020629,1_1_LT05_036034_20020629,
1_1_LT05_036034_20020715,1_1_LT05_036034_20020715,
1_1_LT05_036034_20020731,1_1_LT05_036034_20020731,
1_1_LT05_036034_20020816,1_1_LT05_036034_20020816,
1_1_LT05_036034_20020901,1_1_LT05_036034_20020901,
1_1_LT05_036034_20020917,1_1_LT05_036034_20020917,
1_1_LT05_036034_20021019,1_1_LT05_036034_20021019,
1_1_LT05_036034_20030515,1_1_LT05_036034_20030515,
1_1_LT05_036034_20030531,1_1_LT05_036034_20030531,
1_1_LT05_036034_20030616,1_1_LT05_036034_20030616,
